IS_TYPE,IS_NAME,COORDINATE,XZQHSZ_DM,ADDRESS,TAG,RATING,COMMENT_NUM
cater,醉仙楼,"116.938865,31.938952",蜀山区,高刘镇高长路附近(高刘镇幼儿园北面),美食;中餐厅,4.7,13
cater,巧街坊饺子(高刘店),"116.939,31.938831",蜀山区,高长路50号,美食;小吃快餐店,5.0,5
cater,周公小吃,"116.941604,31.938314",蜀山区,高刘农贸市场216号,美食;小吃快餐店,5.0,
cater,新桥贵宾楼,"116.938848,31.936792",蜀山区,安徽省合肥市蜀山区高刘合肥市高刘小学附属幼儿园,美食;中餐厅,0.0,1
cater,三姐土菜馆(高刘店),"116.939283,31.93912",蜀山区,高刘镇X038与高长路交叉口向西南60米醉仙楼斜对面,美食;中餐厅,,
cater,李记酸菜鱼(高刘店),"116.939199,31.9417",蜀山区,高刘镇X038与X041交叉口向南70米肥西农村商业银行高刘支行旁,美食;中餐厅,,
cater,醉仙楼,"116.938865,31.938952",蜀山区,高刘镇高长路附近(高刘镇幼儿园北面),美食;中餐厅,4.7,13
cater,巧街坊饺子(高刘店),"116.939,31.938831",蜀山区,高长路50号,美食;小吃快餐店,5.0,5
cater,新桥贵宾楼,"116.938848,31.936792",蜀山区,安徽省合肥市蜀山区高刘合肥市高刘小学附属幼儿园,美食;中餐厅,0.0,1
cater,胖子土菜馆(高刘店),"116.938057,31.942566",蜀山区,高刘镇X038与X041交叉口向西30米张宽佳商行旁,美食;中餐厅,,
cater,宫廷桃酥王,"116.941748,31.938332",蜀山区,X038高刘农贸市场内,美食;蛋糕甜品店,,
cater,周公小吃,"116.941604,31.938314",蜀山区,高刘农贸市场216号,美食;小吃快餐店,5.0,
cater,同心苑,"116.940671,31.942468",蜀山区,041县道同心苑(北门)附近,房地产;住宅区,,
cater,品客土菜馆,"116.940454,31.939561",蜀山区,安徽省合肥市蜀山区振兴南路142号,美食;中餐厅,,1
hotel,雅贤居,"116.938977,31.942024",蜀山区,038县道53号,美食;茶座,4.1,11
cater,新桥贵宾楼,"116.938848,31.936792",蜀山区,安徽省合肥市蜀山区高刘合肥市高刘小学附属幼儿园,美食;中餐厅,0.0,1
cater,三姐土菜馆(高刘店),"116.939283,31.93912",蜀山区,高刘镇X038与高长路交叉口向西南60米醉仙楼斜对面,美食;中餐厅,,
cater,醉仙楼,"116.938865,31.938952",蜀山区,高刘镇高长路附近(高刘镇幼儿园北面),美食;中餐厅,4.7,13
cater,巧街坊饺子(高刘店),"116.939,31.938831",蜀山区,高长路50号,美食;小吃快餐店,5.0,5
cater,胖子土菜馆(高刘店),"116.938057,31.942566",蜀山区,高刘镇X038与X041交叉口向西30米张宽佳商行旁,美食;中餐厅,,
cater,李记酸菜鱼(高刘店),"116.939199,31.9417",蜀山区,高刘镇X038与X041交叉口向南70米肥西农村商业银行高刘支行旁,美食;中餐厅,,
cater,同心苑,"116.940671,31.942468",蜀山区,041县道同心苑(北门)附近,房地产;住宅区,,
cater,胖子土菜馆(高刘店),"116.938057,31.942566",蜀山区,高刘镇X038与X041交叉口向西30米张宽佳商行旁,美食;中餐厅,,
cater,胖子土菜馆(高刘店),"116.938057,31.942566",蜀山区,高刘镇X038与X041交叉口向西30米张宽佳商行旁,美食;中餐厅,,
hotel,雅贤居,"116.938977,31.942024",蜀山区,038县道53号,美食;茶座,4.1,11
hotel,雅贤居,"116.938977,31.942024",蜀山区,038县道53号,美食;茶座,4.1,11
cater,品客土菜馆,"116.940454,31.939561",蜀山区,安徽省合肥市蜀山区振兴南路142号,美食;中餐厅,,1
cater,李记酸菜鱼(高刘店),"116.939199,31.9417",蜀山区,高刘镇X038与X041交叉口向南70米肥西农村商业银行高刘支行旁,美食;中餐厅,,
